   26.7500 MB /   1.53 sec =  146.3164 Mbps
   13.1250 MB /   0.60 sec =  182.0815 Mbps
   22.0000 MB /   1.29 sec =  143.0476 Mbps
   11.1875 MB /   0.70 sec =  134.9235 Mbps
   25.5000 MB /   1.30 sec =  165.0264 Mbps
   17.8125 MB /   0.99 sec =  150.3139 Mbps
   10.7500 MB /   0.59 sec =  151.5749 Mbps
   23.0000 MB /   1.40 sec =  137.3395 Mbps
   18.1875 MB /   0.94 sec =  162.5956 Mbps
   14.0000 MB /   0.79 sec =  148.7549 Mbps
   14.5000 MB /   0.86 sec =  141.5838 Mbps
    8.8750 MB /   1.39 sec =   53.5998 Mbps
   35.2500 MB /   0.99 sec =  298.1243 Mbps
   17.8125 MB /   1.00 sec =  149.8499 Mbps
   14.6875 MB /   0.85 sec =  144.8151 Mbps
   13.1250 MB /   1.14 sec =   96.5105 Mbps
   18.8125 MB /   0.65 sec =  243.9631 Mbps
   27.3125 MB /   1.49 sec =  153.4556 Mbps
   10.0625 MB /   0.59 sec =  142.1775 Mbps
   16.1250 MB /   0.90 sec =  149.7712 Mbps
   24.4375 MB /   1.34 sec =  152.5823 Mbps
   17.7500 MB /   0.99 sec =  149.9547 Mbps
   18.0000 MB /   1.00 sec =  151.2784 Mbps
   17.7500 MB /   0.99 sec =  149.7316 Mbps
   17.8125 MB /   1.00 sec =  149.8631 Mbps
   17.3750 MB /   0.99 sec =  146.6689 Mbps
   11.3125 MB /   0.70 sec =  136.1103 Mbps
   24.7500 MB /   1.30 sec =  159.4448 Mbps
   11.9375 MB /   0.68 sec =  146.4732 Mbps
   23.2500 MB /   1.30 sec =  150.1535 Mbps
   18.2500 MB /   1.00 sec =  153.2647 Mbps
   17.7500 MB /   0.99 sec =  149.8150 Mbps
   15.5625 MB /   0.89 sec =  146.2033 Mbps
   14.9375 MB /   0.81 sec =  155.1156 Mbps
   22.3750 MB /   1.29 sec =  145.0255 Mbps
   18.7500 MB /   1.03 sec =  151.9753 Mbps
   17.5000 MB /   0.95 sec =  154.3101 Mbps
   17.8125 MB /   0.99 sec =  150.2796 Mbps
   17.7500 MB /   1.00 sec =  149.3595 Mbps
   16.3125 MB /   0.99 sec =  138.5650 Mbps
   23.0000 MB /   1.21 sec =  160.0659 Mbps
    8.8750 MB /   0.60 sec =  125.0992 Mbps
   19.4375 MB /   1.00 sec =  163.4875 Mbps
    8.8125 MB /   0.94 sec =   78.2961 Mbps
   24.8750 MB /   1.25 sec =  167.2509 Mbps
   23.0000 MB /   0.99 sec =  194.8884 Mbps
   11.3125 MB /   1.00 sec =   95.1727 Mbps
   24.6250 MB /   0.99 sec =  207.9928 Mbps
    8.3750 MB /   1.00 sec =   70.4485 Mbps
   25.6250 MB /   1.04 sec =  206.4211 Mbps
   10.8125 MB /   0.95 sec =   95.2949 Mbps
   26.4375 MB /   0.99 sec =  222.9160 Mbps
   13.6875 MB /   0.99 sec =  115.4220 Mbps
   29.2500 MB /   1.40 sec =  174.7433 Mbps
   17.5625 MB /   1.00 sec =  147.7420 Mbps
   17.9375 MB /   1.00 sec =  150.9995 Mbps
    3.5625 MB /   0.81 sec =   36.7273 Mbps
   28.7500 MB /   0.99 sec =  243.6004 Mbps
   21.2500 MB /   1.19 sec =  149.9885 Mbps
   10.1250 MB /   0.99 sec =   85.3967 Mbps
   17.8125 MB /   1.00 sec =  149.3804 Mbps
   10.4375 MB /   0.99 sec =   88.1479 Mbps
   21.6875 MB /   1.00 sec =  182.8258 Mbps
   29.0000 MB /   0.99 sec =  244.5499 Mbps
   17.8750 MB /   1.01 sec =  148.7340 Mbps
   17.6875 MB /   0.98 sec =  151.0420 Mbps
   17.8750 MB /   1.00 sec =  150.4575 Mbps
   17.6875 MB /   0.99 sec =  149.3318 Mbps
   17.7500 MB /   1.00 sec =  149.5880 Mbps
   15.8750 MB /   0.90 sec =  148.6548 Mbps
   19.8125 MB /   1.10 sec =  151.4477 Mbps
   17.8750 MB /   1.00 sec =  149.8449 Mbps
   17.6875 MB /   0.99 sec =  149.9207 Mbps
    9.4375 MB /   1.00 sec =   79.0631 Mbps
   23.9375 MB /   0.89 sec =  226.8819 Mbps
   20.2500 MB /   1.11 sec =  153.1916 Mbps
    9.2500 MB /   0.99 sec =   78.0662 Mbps
   26.1875 MB /   0.99 sec =  221.9523 Mbps
   16.1250 MB /   0.90 sec =  149.9660 Mbps
   19.5000 MB /   1.09 sec =  150.0955 Mbps
   11.1250 MB /   1.00 sec =   93.6745 Mbps
   24.5625 MB /   1.00 sec =  206.8880 Mbps
   17.8125 MB /   1.00 sec =  149.7589 Mbps
   17.5625 MB /   1.00 sec =  147.3173 Mbps
   18.0000 MB /   0.99 sec =  152.0609 Mbps
   17.7500 MB /   0.99 sec =  149.7990 Mbps
   17.8750 MB /   0.99 sec =  151.1114 Mbps
   16.6875 MB /   0.94 sec =  148.7162 Mbps
   18.9375 MB /   1.05 sec =  150.6638 Mbps
   17.8125 MB /   0.99 sec =  150.4269 Mbps
   11.9375 MB /   1.00 sec =  100.3336 Mbps
   15.1250 MB /   0.99 sec =  127.9551 Mbps
   17.7500 MB /   1.00 sec =  149.1975 Mbps
   25.8750 MB /   1.01 sec =  215.4407 Mbps
   18.1250 MB /   0.98 sec =  154.5725 Mbps
   17.9375 MB /   0.99 sec =  151.2560 Mbps
   17.8750 MB /   1.00 sec =  150.5880 Mbps
   17.5000 MB /   0.99 sec =  147.6603 Mbps
   17.8750 MB /   0.99 sec =  151.0980 Mbps
   18.0000 MB /   1.00 sec =  150.7062 Mbps
    3.5000 MB /   1.00 sec =   29.4728 Mbps
   32.0625 MB /   0.99 sec =  270.9766 Mbps
    7.3125 MB /   1.00 sec =   61.4860 Mbps
   28.3750 MB /   1.01 sec =  236.1798 Mbps
   18.0625 MB /   1.03 sec =  147.7330 Mbps
   17.5625 MB /   1.00 sec =  147.8679 Mbps
   17.8750 MB /   0.99 sec =  150.8178 Mbps
   18.0625 MB /   1.00 sec =  152.2061 Mbps
   17.6250 MB /   1.01 sec =  146.3361 Mbps
   17.9375 MB /   0.98 sec =  153.5238 Mbps
   17.5000 MB /   1.00 sec =  147.2317 Mbps
   17.8125 MB /   1.01 sec =  148.5759 Mbps
   35.4375 MB /   1.94 sec =  153.4225 Mbps
    0.2500 MB /   0.05 sec =   42.2677 Mbps
   17.9375 MB /   1.00 sec =  150.0378 Mbps
   18.6250 MB /   1.03 sec =  151.3132 Mbps
   17.9375 MB /   1.01 sec =  149.1097 Mbps
   17.7500 MB /   1.00 sec =  149.4875 Mbps
   18.1875 MB /   0.98 sec =  155.1632 Mbps
   17.5000 MB /   1.93 sec =   75.9300 Mbps
   35.6875 MB /   1.03 sec =  290.7534 Mbps
    0.0000 MB /   0.01 sec =    0.0000 Mbps
   13.0625 MB /   1.01 sec =  108.9465 Mbps
   23.3125 MB /   1.02 sec =  192.4523 Mbps
   18.1875 MB /   1.02 sec =  149.5127 Mbps
   18.1250 MB /   1.01 sec =  150.1205 Mbps
   17.8125 MB /   1.01 sec =  148.4157 Mbps
   17.6875 MB /   1.05 sec =  141.2269 Mbps
   13.5625 MB /   0.97 sec =  117.5260 Mbps
   22.8750 MB /   1.00 sec =  191.9823 Mbps
   18.0625 MB /   1.01 sec =  150.4818 Mbps
   17.9375 MB /   1.00 sec =  150.3812 Mbps
   16.1875 MB /   0.91 sec =  148.9254 Mbps
   19.5000 MB /   1.09 sec =  149.5559 Mbps
   18.0000 MB /   1.00 sec =  151.0817 Mbps
   17.9375 MB /   1.00 sec =  150.0658 Mbps
   17.8125 MB /   1.00 sec =  150.0591 Mbps
   17.8125 MB /   1.00 sec =  149.6202 Mbps
   16.5625 MB /   1.00 sec =  138.8246 Mbps
   19.2500 MB /   1.00 sec =  161.6605 Mbps
   17.6250 MB /   0.99 sec =  148.7894 Mbps
   18.0000 MB /   1.00 sec =  150.9800 Mbps
   17.8750 MB /   1.00 sec =  150.0637 Mbps
   17.8125 MB /   1.00 sec =  150.1437 Mbps
   17.8125 MB /   1.00 sec =  149.9155 Mbps
    4.0000 MB /   1.00 sec =   33.6572 Mbps
   31.6875 MB /   1.00 sec =  266.7923 Mbps
   13.7500 MB /   1.00 sec =  115.4858 Mbps
   21.3750 MB /   1.01 sec =  177.6149 Mbps
    5.2500 MB /   1.03 sec =   42.7819 Mbps
   30.8750 MB /   0.95 sec =  273.2683 Mbps
   17.8125 MB /   1.00 sec =  150.0437 Mbps
   18.0625 MB /   1.01 sec =  149.5438 Mbps
   18.1250 MB /   1.01 sec =  149.9038 Mbps
   18.0625 MB /   1.01 sec =  150.1136 Mbps
   18.0625 MB /   1.02 sec =  148.5968 Mbps
   17.8750 MB /   1.00 sec =  150.5011 Mbps
   18.5000 MB /   1.07 sec =  144.5170 Mbps
   17.0000 MB /   0.94 sec =  152.3240 Mbps
    6.3750 MB /   1.00 sec =   53.2659 Mbps
   29.3750 MB /   0.97 sec =  255.2273 Mbps
