   29.6250 MB /   1.66 sec =  149.5017 Mbps
   13.2500 MB /   0.85 sec =  131.2374 Mbps
   29.9375 MB /   1.57 sec =  159.9077 Mbps
   22.0625 MB /   1.23 sec =  150.6014 Mbps
   38.0000 MB /   2.15 sec =  147.9999 Mbps
   70.6875 MB /   3.95 sec =  150.2417 Mbps
   18.2500 MB /   1.00 sec =  153.0797 Mbps
   35.1875 MB /   1.98 sec =  149.3489 Mbps
   11.1250 MB /   1.02 sec =   91.6034 Mbps
   41.0000 MB /   1.89 sec =  182.1296 Mbps
   12.8125 MB /   0.71 sec =  151.9695 Mbps
    8.0625 MB /   1.13 sec =   59.6655 Mbps
   72.9375 MB /   3.45 sec =  177.2285 Mbps
   32.3750 MB /   1.77 sec =  153.7851 Mbps
   21.8750 MB /   1.24 sec =  147.9947 Mbps
    7.8125 MB /   0.42 sec =  156.8470 Mbps
   15.8750 MB /   1.00 sec =  133.4618 Mbps
   48.0625 MB /   2.58 sec =  156.4098 Mbps
    7.2500 MB /   0.42 sec =  145.9091 Mbps
   17.8750 MB /   1.00 sec =  149.5559 Mbps
   17.7500 MB /   1.01 sec =  147.2026 Mbps
   18.0625 MB /   0.99 sec =  153.1664 Mbps
   17.8125 MB /   1.00 sec =  149.6283 Mbps
   17.6875 MB /   1.00 sec =  148.6565 Mbps
   15.3125 MB /   1.17 sec =  109.4534 Mbps
   20.8125 MB /   0.82 sec =  211.6235 Mbps
   22.8750 MB /   1.38 sec =  139.0540 Mbps
   12.3750 MB /   0.62 sec =  167.4115 Mbps
   22.3750 MB /   1.23 sec =  152.9868 Mbps
   46.0000 MB /   2.59 sec =  149.0844 Mbps
    4.8750 MB /   0.26 sec =  155.8246 Mbps
    2.0000 MB /   1.23 sec =   13.5963 Mbps
  111.4375 MB /   5.10 sec =  183.3967 Mbps
    5.4375 MB /   1.73 sec =   26.4253 Mbps
   41.5625 MB /   1.64 sec =  212.3509 Mbps
   17.1875 MB /   0.26 sec =  560.2652 Mbps
   16.4375 MB /   0.98 sec =  140.5489 Mbps
   18.5000 MB /   1.00 sec =  155.8217 Mbps
   73.5625 MB /   4.09 sec =  150.8348 Mbps
  224.2500 MB /  12.52 sec =  150.3054 Mbps
   57.0625 MB /   3.18 sec =  150.6735 Mbps
  170.1250 MB /   9.52 sec =  149.8526 Mbps
    0.1250 MB /   0.30 sec =    3.4608 Mbps
   58.1875 MB /   2.97 sec =  164.3492 Mbps
   16.0625 MB /   0.89 sec =  150.9126 Mbps
   42.4375 MB /   2.36 sec =  150.6547 Mbps
   11.6250 MB /   0.66 sec =  148.2352 Mbps
   32.6250 MB /   1.82 sec =  150.2531 Mbps
    2.1250 MB /   0.14 sec =  127.6096 Mbps
   21.5000 MB /   1.18 sec =  153.3821 Mbps
   15.5625 MB /   0.88 sec =  148.8395 Mbps
   45.6875 MB /   2.55 sec =  150.1326 Mbps
   15.1875 MB /   1.04 sec =  123.0832 Mbps
    9.3125 MB /   0.35 sec =  222.7901 Mbps
   18.6250 MB /   1.03 sec =  151.7201 Mbps
   30.8750 MB /   1.74 sec =  148.6583 Mbps
    4.5625 MB /   0.24 sec =  156.6801 Mbps
   17.8125 MB /   1.00 sec =  150.0252 Mbps
   17.6250 MB /   0.99 sec =  148.6537 Mbps
   18.0625 MB /   1.00 sec =  151.1109 Mbps
   17.8125 MB /   0.99 sec =  150.7395 Mbps
   17.8125 MB /   1.02 sec =  147.0536 Mbps
   18.1875 MB /   0.98 sec =  155.1572 Mbps
   17.9375 MB /   1.00 sec =  150.5143 Mbps
   17.8125 MB /   1.00 sec =  148.9949 Mbps
   17.9375 MB /   1.00 sec =  150.5583 Mbps
   17.8125 MB /   1.00 sec =  149.6337 Mbps
   17.8125 MB /   1.02 sec =  146.8248 Mbps
   17.8750 MB /   1.00 sec =  150.4904 Mbps
   17.8750 MB /   0.99 sec =  150.7099 Mbps
   16.7500 MB /   1.00 sec =  141.1679 Mbps
   18.9375 MB /   1.00 sec =  159.5126 Mbps
   17.8125 MB /   1.00 sec =  149.4423 Mbps
   18.1250 MB /   1.00 sec =  152.1838 Mbps
   17.6250 MB /   1.01 sec =  146.5762 Mbps
   18.1250 MB /   1.00 sec =  152.6266 Mbps
   17.3750 MB /   1.00 sec =  145.7220 Mbps
   18.4375 MB /   1.00 sec =  154.5891 Mbps
   12.6875 MB /   1.12 sec =   94.6730 Mbps
   33.5000 MB /   1.49 sec =  188.5495 Mbps
    7.4375 MB /   0.41 sec =  153.5318 Mbps
   17.6875 MB /   0.98 sec =  150.9826 Mbps
   17.9375 MB /   1.00 sec =  151.0586 Mbps
   29.4375 MB /   1.65 sec =  149.9447 Mbps
    5.1875 MB /   1.91 sec =   22.7749 Mbps
  108.4375 MB /   4.44 sec =  204.9665 Mbps
   19.1875 MB /   1.08 sec =  149.6067 Mbps
   20.8125 MB /   1.16 sec =  150.6958 Mbps
   33.0625 MB /   1.85 sec =  149.6421 Mbps
   70.6875 MB /   3.96 sec =  149.7534 Mbps
   54.0625 MB /   3.02 sec =  150.4013 Mbps
   16.8125 MB /   0.94 sec =  150.4627 Mbps
   11.5000 MB /   2.03 sec =   47.6168 Mbps
   45.6875 MB /   1.20 sec =  320.3725 Mbps
    0.2500 MB /   0.79 sec =    2.6461 Mbps
   71.8750 MB /   3.24 sec =  185.8222 Mbps
   50.0625 MB /   2.79 sec =  150.4269 Mbps
   17.8125 MB /   0.99 sec =  151.3153 Mbps
   20.8750 MB /   1.16 sec =  150.9239 Mbps
   16.4375 MB /   0.93 sec =  148.7855 Mbps
   24.2500 MB /   1.35 sec =  150.2116 Mbps
   31.8125 MB /   1.79 sec =  149.4566 Mbps
   13.3125 MB /   0.74 sec =  150.1943 Mbps
  163.5000 MB /   9.13 sec =  150.2469 Mbps
   20.2500 MB /   1.19 sec =  143.0225 Mbps
   24.6250 MB /   1.34 sec =  153.8153 Mbps
    6.1875 MB /   0.34 sec =  152.7889 Mbps
   17.8125 MB /   1.00 sec =  149.8801 Mbps
   18.0000 MB /   1.00 sec =  151.5712 Mbps
   35.3750 MB /   3.44 sec =   86.1968 Mbps
   36.3750 MB /   0.57 sec =  537.3232 Mbps
   17.7500 MB /   0.99 sec =  150.4308 Mbps
   17.9375 MB /   1.00 sec =  150.4661 Mbps
   18.1875 MB /   1.02 sec =  149.3406 Mbps
   17.4375 MB /   0.99 sec =  147.3042 Mbps
   46.6250 MB /   2.59 sec =  150.8015 Mbps
    6.6250 MB /   0.39 sec =  141.3100 Mbps
   31.3125 MB /   1.75 sec =  149.8075 Mbps
    5.0000 MB /   0.25 sec =  168.1124 Mbps
   52.6250 MB /   2.95 sec =  149.7556 Mbps
    0.1250 MB /   0.05 sec =   22.3859 Mbps
   55.4375 MB /   3.08 sec =  151.2165 Mbps
   34.0625 MB /   1.90 sec =  150.6831 Mbps
    0.1875 MB /   0.11 sec =   14.4146 Mbps
   41.3125 MB /   2.33 sec =  148.6465 Mbps
   37.4375 MB /   1.99 sec =  157.7842 Mbps
   68.4375 MB /   3.83 sec =  149.9165 Mbps
  178.1250 MB /   9.95 sec =  150.1414 Mbps
   19.1875 MB /   1.05 sec =  152.6689 Mbps
  159.0625 MB /   8.97 sec =  148.7656 Mbps
   36.8125 MB /   1.98 sec =  155.8932 Mbps
   78.5625 MB /   6.57 sec =  100.3534 Mbps
   40.8125 MB /   0.25 sec = 1393.5260 Mbps
   22.1875 MB /   1.11 sec =  168.0212 Mbps
   16.4375 MB /   0.94 sec =  146.3943 Mbps
  178.5625 MB /  10.02 sec =  149.4342 Mbps
   18.6250 MB /   0.98 sec =  159.0984 Mbps
  159.5625 MB /   8.92 sec =  149.9955 Mbps
    0.1250 MB /   0.03 sec =   30.0245 Mbps
  185.9375 MB /  10.40 sec =  149.9949 Mbps
   18.8750 MB /   1.02 sec =  155.1362 Mbps
   90.7500 MB /   5.62 sec =  135.4705 Mbps
   26.6875 MB /   0.95 sec =  235.6127 Mbps
   42.3750 MB /   2.38 sec =  149.0956 Mbps
   27.3125 MB /   2.10 sec =  108.9927 Mbps
   19.0000 MB /   0.53 sec =  302.6406 Mbps
   17.5625 MB /   1.00 sec =  147.9363 Mbps
   17.9375 MB /   1.00 sec =  150.4645 Mbps
   18.5625 MB /   0.99 sec =  157.1732 Mbps
   17.8750 MB /   1.00 sec =  150.1862 Mbps
   18.1875 MB /   1.00 sec =  152.4256 Mbps
   17.8750 MB /   1.00 sec =  150.6968 Mbps
   17.6250 MB /   1.00 sec =  147.8176 Mbps
   18.1250 MB /   1.00 sec =  152.0236 Mbps
   17.1250 MB /   1.00 sec =  143.2438 Mbps
    4.5000 MB /   1.00 sec =   37.8559 Mbps
   31.5000 MB /   1.03 sec =  257.6635 Mbps
   18.2500 MB /   1.01 sec =  151.6142 Mbps
   17.8125 MB /   0.98 sec =  152.9481 Mbps
   16.1250 MB /   1.00 sec =  135.7335 Mbps
