    7.8125 MB /   1.32 sec =   49.5340 Mbps
    6.1250 MB /   1.04 sec =   49.3105 Mbps
    3.8125 MB /   0.64 sec =   50.1746 Mbps
    5.8750 MB /   1.00 sec =   49.3666 Mbps
    6.0625 MB /   1.00 sec =   50.8284 Mbps
    5.9375 MB /   1.00 sec =   49.8257 Mbps
    6.0000 MB /   1.01 sec =   49.8819 Mbps
    5.9375 MB /   0.99 sec =   50.2283 Mbps
    5.7500 MB /   1.00 sec =   48.2852 Mbps
    6.0000 MB /   1.00 sec =   50.2659 Mbps
    6.0000 MB /   1.00 sec =   50.2910 Mbps
    6.0625 MB /   1.00 sec =   50.9750 Mbps
    5.9375 MB /   1.01 sec =   49.5565 Mbps
    6.0000 MB /   1.00 sec =   50.3171 Mbps
    5.9375 MB /   1.00 sec =   50.0300 Mbps
    5.9375 MB /   1.00 sec =   49.8251 Mbps
    6.0000 MB /   1.00 sec =   50.3499 Mbps
    5.9375 MB /   1.01 sec =   49.4384 Mbps
    5.9375 MB /   1.00 sec =   50.0331 Mbps
    6.0000 MB /   1.00 sec =   50.4254 Mbps
    6.0000 MB /   1.00 sec =   50.2844 Mbps
    5.9375 MB /   1.00 sec =   49.8256 Mbps
    5.8125 MB /   1.00 sec =   48.8140 Mbps
    6.1250 MB /   1.00 sec =   51.3577 Mbps
    5.8750 MB /   1.00 sec =   49.3011 Mbps
    6.0000 MB /   1.00 sec =   50.3761 Mbps
    5.9375 MB /   1.00 sec =   49.7949 Mbps
    5.9375 MB /   1.00 sec =   49.6747 Mbps
    6.0000 MB /   1.00 sec =   50.4796 Mbps
    6.0000 MB /   1.00 sec =   50.2017 Mbps
    5.8750 MB /   1.00 sec =   49.4125 Mbps
    6.0000 MB /   1.01 sec =   49.9964 Mbps
    6.0000 MB /   0.99 sec =   50.5910 Mbps
    5.8750 MB /   1.00 sec =   49.3000 Mbps
    6.0625 MB /   1.01 sec =   50.5540 Mbps
    5.9375 MB /   0.99 sec =   50.1450 Mbps
    5.9375 MB /   1.00 sec =   49.6713 Mbps
    6.0000 MB /   1.00 sec =   50.3282 Mbps
    5.9375 MB /   1.00 sec =   49.8073 Mbps
    6.0000 MB /   1.00 sec =   50.3447 Mbps
    5.9375 MB /   1.00 sec =   49.8478 Mbps
    5.9375 MB /   1.00 sec =   49.8717 Mbps
    6.0000 MB /   1.00 sec =   50.3168 Mbps
    5.9375 MB /   1.00 sec =   49.8135 Mbps
    5.9375 MB /   1.00 sec =   49.8146 Mbps
    6.0000 MB /   1.00 sec =   50.3685 Mbps
    5.8750 MB /   1.00 sec =   49.1174 Mbps
