nuttcp-t: v6.1.2: Error: connect: Connection refused
errno=111
RTY: 3
nuttcp-t: v6.1.2: Error: connect: Connection refused
errno=111
RTY: 10
nuttcp-t: v6.1.2: Error: connect: Connection refused
errno=111
RTY: 18
    6.0625 MB /   1.01 sec =   50.1969 Mbps
    5.8750 MB /   0.99 sec =   49.9828 Mbps
    5.9375 MB /   1.00 sec =   49.9349 Mbps
    6.0000 MB /   1.00 sec =   50.2409 Mbps
    6.0000 MB /   1.00 sec =   50.5241 Mbps
    5.9375 MB /   1.00 sec =   49.8279 Mbps
    6.0000 MB /   1.00 sec =   50.1707 Mbps
    5.8750 MB /   1.00 sec =   49.4745 Mbps
    6.0625 MB /   1.00 sec =   50.6999 Mbps
    5.9375 MB /   1.00 sec =   49.8265 Mbps
    5.9375 MB /   1.00 sec =   49.8732 Mbps
    5.9375 MB /   1.00 sec =   49.7691 Mbps
    5.9375 MB /   1.00 sec =   49.8337 Mbps
    5.9375 MB /   1.00 sec =   49.8193 Mbps
    6.0000 MB /   1.00 sec =   50.3041 Mbps
    6.0000 MB /   1.00 sec =   50.2200 Mbps
    5.9375 MB /   1.00 sec =   50.0022 Mbps
    6.0000 MB /   1.00 sec =   50.1692 Mbps
    5.9375 MB /   1.00 sec =   49.8114 Mbps
    5.9375 MB /   1.00 sec =   49.6655 Mbps
    6.0000 MB /   1.00 sec =   50.5207 Mbps
    5.9375 MB /   1.00 sec =   49.8315 Mbps
    6.0000 MB /   1.00 sec =   50.1759 Mbps
    5.8750 MB /   1.00 sec =   49.2994 Mbps
    5.9375 MB /   1.00 sec =   49.8245 Mbps
    6.0000 MB /   1.00 sec =   50.2144 Mbps
   10.0000 MB /   5.59 sec =   15.0068 Mbps
   32.3750 MB /   1.54 sec =  176.4940 Mbps
    5.6250 MB /   0.95 sec =   49.8322 Mbps
    4.5000 MB /   1.15 sec =   32.8694 Mbps
   17.1875 MB /   2.90 sec =   49.6514 Mbps
    7.8750 MB /   0.90 sec =   73.6223 Mbps
   56.0000 MB /   9.46 sec =   49.6478 Mbps
    3.0000 MB /   0.54 sec =   46.3498 Mbps
    6.1875 MB /   1.00 sec =   52.0112 Mbps
   25.5000 MB /   4.26 sec =   50.2071 Mbps
    4.1875 MB /   0.76 sec =   46.4036 Mbps
