nuttcp-t: v6.1.2: Error: connect: Connection refused
errno=111
RTY: 12
nuttcp-t: v6.1.2: Error: connect: Connection refused
errno=111
RTY: 22
    5.6250 MB /   0.86 sec =   54.8017 Mbps
    6.0000 MB /   1.00 sec =   50.3299 Mbps
    5.9375 MB /   1.00 sec =   49.8071 Mbps
    5.9375 MB /   1.00 sec =   49.8084 Mbps
    6.0000 MB /   1.00 sec =   50.3330 Mbps
    5.9375 MB /   1.00 sec =   49.8029 Mbps
    6.0000 MB /   1.00 sec =   50.3344 Mbps
    5.8125 MB /   1.00 sec =   48.7055 Mbps
    5.9375 MB /   1.00 sec =   49.7958 Mbps
    6.0625 MB /   1.00 sec =   50.8393 Mbps
    5.7500 MB /   1.00 sec =   48.1798 Mbps
    6.0625 MB /   1.00 sec =   50.9803 Mbps
    6.0000 MB /   1.00 sec =   50.1904 Mbps
    5.9375 MB /   1.00 sec =   49.6220 Mbps
    6.0000 MB /   1.00 sec =   50.5469 Mbps
    6.0000 MB /   1.02 sec =   49.3987 Mbps
    5.9375 MB /   0.98 sec =   50.8021 Mbps
    5.9375 MB /   1.00 sec =   49.8292 Mbps
    6.0000 MB /   1.01 sec =   49.9722 Mbps
    5.8750 MB /   0.99 sec =   49.5837 Mbps
    6.0000 MB /   1.00 sec =   50.4370 Mbps
    6.0000 MB /   1.00 sec =   50.1765 Mbps
    6.0000 MB /   1.00 sec =   50.3497 Mbps
    6.0000 MB /   1.00 sec =   50.3504 Mbps
    5.9375 MB /   1.00 sec =   49.8478 Mbps
    5.8125 MB /   1.01 sec =   48.4867 Mbps
    6.0000 MB /   0.99 sec =   50.6565 Mbps
    5.9375 MB /   1.00 sec =   49.6370 Mbps
    6.0000 MB /   1.00 sec =   50.5104 Mbps
    6.0000 MB /   1.01 sec =   50.0000 Mbps
    5.9375 MB /   1.00 sec =   50.0054 Mbps
    6.3125 MB /   1.06 sec =   49.9833 Mbps
    5.7500 MB /   0.97 sec =   49.6572 Mbps
    5.7500 MB /   0.97 sec =   49.8213 Mbps
    6.0000 MB /   1.00 sec =   50.3485 Mbps
    5.9375 MB /   1.00 sec =   49.8230 Mbps
    6.0000 MB /   1.00 sec =   50.3690 Mbps
    5.9375 MB /   1.00 sec =   49.6333 Mbps
    6.0000 MB /   1.00 sec =   50.3507 Mbps
    5.8750 MB /   1.00 sec =   49.3119 Mbps
    5.9375 MB /   1.00 sec =   49.9886 Mbps
    5.9375 MB /   1.01 sec =   49.4416 Mbps
    6.0625 MB /   1.00 sec =   51.0935 Mbps
    6.0000 MB /   1.00 sec =   50.4101 Mbps
    5.8750 MB /   1.00 sec =   49.2361 Mbps
   21.6250 MB /   3.67 sec =   49.4762 Mbps
    2.0000 MB /   0.35 sec =   48.1521 Mbps
   39.5000 MB /   6.58 sec =   50.3566 Mbps
    1.8125 MB /   0.40 sec =   37.7690 Mbps
    6.7500 MB /   1.00 sec =   56.6248 Mbps
    5.8750 MB /   1.00 sec =   49.2671 Mbps
    5.9375 MB /   1.03 sec =   48.4847 Mbps
    6.0000 MB /   1.00 sec =   50.5134 Mbps
   11.0000 MB /   2.05 sec =   44.9200 Mbps
   25.5625 MB /   4.09 sec =   52.4428 Mbps
    5.9375 MB /   0.98 sec =   50.7172 Mbps
    4.5000 MB /   0.91 sec =   41.4639 Mbps
    5.1875 MB /   1.10 sec =   39.7188 Mbps
    7.5000 MB /   0.84 sec =   74.4572 Mbps
    5.9375 MB /   1.03 sec =   48.3690 Mbps
    5.8125 MB /   1.00 sec =   48.9691 Mbps
    6.0625 MB /   1.00 sec =   51.0762 Mbps
    5.9375 MB /   0.99 sec =   50.0724 Mbps
    5.9375 MB /   1.00 sec =   49.9932 Mbps
   45.0000 MB /   7.68 sec =   49.1630 Mbps
    0.9375 MB /   2.08 sec =    3.7742 Mbps
    1.1875 MB /   0.25 sec =   39.3507 Mbps
   28.2500 MB /   4.60 sec =   51.5643 Mbps
   34.9375 MB /   3.89 sec =   75.4002 Mbps
    4.8750 MB /   0.85 sec =   48.3452 Mbps
    2.9375 MB /   0.69 sec =   35.9096 Mbps
    6.5625 MB /   1.04 sec =   52.8523 Mbps
    6.6250 MB /   0.95 sec =   58.7438 Mbps
   11.4375 MB /   1.95 sec =   49.2255 Mbps
    1.1250 MB /   0.19 sec =   49.3308 Mbps
    6.4375 MB /   1.09 sec =   49.3751 Mbps
    7.2500 MB /   1.20 sec =   50.8742 Mbps
    3.2500 MB /   0.55 sec =   49.4979 Mbps
    5.7500 MB /   1.00 sec =   48.4136 Mbps
    6.1875 MB /   1.00 sec =   52.0976 Mbps
    5.6250 MB /   1.00 sec =   47.2257 Mbps
    6.1875 MB /   1.03 sec =   50.5854 Mbps
    6.0625 MB /   0.98 sec =   51.8577 Mbps
   15.3125 MB /   5.04 sec =   25.4684 Mbps
   36.6250 MB /   3.65 sec =   84.0732 Mbps
    5.6250 MB /   0.95 sec =   49.4897 Mbps
    5.8750 MB /   1.00 sec =   49.3968 Mbps
   21.6250 MB /   3.63 sec =   50.0138 Mbps

 1795.8125 MB / 301.36 sec =   49.9875 Mbps 84 %TX 1 %RX 4.32 msRTT
